,rtype,cname,pcterwben,pctmathben,pctbothben,year
1488,C,Riverside,60.919999999999995,36.4,34.11,2019
1589,C,Sacramento,67.95,48.36,45.63,2019
1604,C,San Benito,75.22,50.88,47.35,2019
1713,C,San Bernardino,66.52,41.43,38.72,2019
1903,C,San Diego,78.36,57.97,55.52,2019
1960,C,San Francisco,69.99,61.17,55.32,2019
2010,C,San Joaquin,69.95,45.21,42.29,2019
2038,C,San Luis Obispo,87.62,64.92,63.65,2019
2073,C,San Mateo,77.42,62.480000000000004,59.650000000000006,2019
2107,C,Santa Barbara,80.76,62.25999999999999,60.03000000000001,2019
2189,C,Santa Clara,82.96,69.31,66.76,2019
2222,C,Santa Cruz,75.81,56.37,54.17000000000001,2019
2248,C,Shasta,85.49,66.32,63.73,2019
2258,C,Sierra,,,,2019
2270,C,Siskiyou,76.15,53.21,50.46000000000001,2019
2295,C,Solano,75.39,51.629999999999995,48.65,2019
2335,C,Sonoma,80.92,58.21999999999999,56.26,2019
2388,C,Stanislaus,67.64,40.92,38.1,2019
2417,C,Sutter,82.73,52.65,52.09,2019
2431,C,Tehama,75.82,58.24,57.14,2019
2440,C,Trinity,,,,2019
2479,C,Tulare,62.02000000000001,35.54,32.7,2019
2500,C,Tuolumne,82.5,60.0,60.0,2019
2540,C,Ventura,62.09,45.61,43.38,2019
2561,C,Yolo,77.21,61.13000000000001,58.37,2019
2574,C,Yuba,78.65,51.12,49.44,2019
