Unnamed: 0,ms_subclass,lot_frontage,lot_area,lot_shape,land_slope,overall_qual,overall_cond,year_built,year_remod/add,mas_vnr_area,exter_qual,exter_cond,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,electrical,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,functional,fireplaces,fireplace_qu,garage_yr_blt,garage_finish,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_val,mo_sold,yr_sold,saleprice,overall_qual_p2,overall_qual_p3,overallqual_grlivarea,gr_liv_area_p2,gr_liv_area_p3,ms_zoning_c (all),ms_zoning_fv,ms_zoning_rl,ms_zoning_rm,alley_None,alley_grvl,alley_pave,land_contour_bnk,land_contour_hls,land_contour_low,land_contour_lvl,lot_config_corner,lot_config_culdsac,lot_config_fr2,lot_config_inside,neighborhood_blmngtn,neighborhood_brdale,neighborhood_brkside,neighborhood_clearcr,neighborhood_collgcr,neighborhood_crawfor,neighborhood_edwards,neighborhood_gilbert,neighborhood_idotrr,neighborhood_meadowv,neighborhood_mitchel,neighborhood_names,neighborhood_noridge,neighborhood_nridght,neighborhood_nwames,neighborhood_oldtown,neighborhood_sawyer,neighborhood_sawyerw,neighborhood_somerst,neighborhood_stonebr,neighborhood_swisu,neighborhood_timber,condition_1_artery,condition_1_feedr,condition_1_norm,condition_1_posn,condition_1_rrae,condition_1_rran,condition_2_norm,bldg_type_1fam,bldg_type_2fmcon,bldg_type_duplex,bldg_type_twnhs,bldg_type_twnhse,house_style_1.5fin,house_style_1story,house_style_2story,house_style_sfoyer,house_style_slvl,roof_style_gable,roof_style_hip,roof_matl_compshg,exterior_1st_asbshng,exterior_1st_brkface,exterior_1st_cemntbd,exterior_1st_hdboard,exterior_1st_metalsd,exterior_1st_plywood,exterior_1st_stucco,exterior_1st_vinylsd,exterior_1st_wd sdng,exterior_1st_wdshing,exterior_2nd_asbshng,exterior_2nd_brkface,exterior_2nd_cmentbd,exterior_2nd_hdboard,exterior_2nd_metalsd,exterior_2nd_plywood,exterior_2nd_stucco,exterior_2nd_vinylsd,exterior_2nd_wd sdng,exterior_2nd_wd shng,mas_vnr_type_None,mas_vnr_type_brkface,mas_vnr_type_none,mas_vnr_type_stone,foundation_brktil,foundation_cblock,foundation_pconc,foundation_slab,heating_gasa,heating_gasw,central_air_n,central_air_y,garage_type_2types,garage_type_attchd,garage_type_basment,garage_type_builtin,garage_type_detchd,garage_type_no garage,misc_feature_None,misc_feature_shed,sale_type_cod,sale_type_new,sale_type_wd ,combined_sale_type,combined_house_style,combined_roof_style
10,160,21.0,1680,3,0,6,5,1971,1971,232.0,3,4,5,5,3,1,387.0,5,0.0,96.0,483.0,4,4,504,0,987,0.0,0.0,1,1,2,1,3,7,0,0,1971.0,3,264.0,5,5,2,0,0,0,0,0,0,0,0,0,7,2008,85400,36,216,5922,974169,961504803,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
11,20,64.0,7488,0,0,7,5,2005,2005,0.0,2,4,3,5,0,3,393.0,5,0.0,815.0,1208.0,0,4,0,0,1208,0.0,0.0,2,0,2,1,2,7,0,0,2005.0,2,632.0,5,5,2,105,58,0,0,0,0,0,0,0,2,2006,183600,49,343,8456,1459264,1762790912,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
12,70,120.0,26400,3,0,5,7,1880,2007,0.0,2,4,0,0,3,0,0.0,5,0.0,0.0,0.0,0,4,728,0,2016,0.0,0.0,1,0,4,1,3,4,1,5,1900.0,3,576.0,5,5,1,0,0,0,0,0,0,0,0,0,6,2009,131000,25,125,10080,4064256,8193540096,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
13,160,24.0,2645,3,0,8,5,1999,2000,456.0,2,4,3,5,3,3,813.0,5,0.0,147.0,960.0,0,4,645,0,1607,1.0,0.0,2,1,3,1,2,7,0,0,2000.0,3,480.0,5,5,2,169,0,0,0,0,0,0,0,0,12,2008,200000,64,512,12856,2582449,4149995543,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
14,20,74.0,9627,3,0,7,5,2007,2007,0.0,2,4,3,5,0,3,24.0,5,0.0,1327.0,1351.0,0,4,0,0,1361,0.0,0.0,2,0,3,1,2,7,0,0,2007.0,2,610.0,5,5,2,0,50,0,0,0,0,0,0,0,6,2008,193000,49,343,9527,1852321,2521008881,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
15,20,93.0,10114,3,0,5,5,2004,2005,0.0,3,4,1,5,0,6,0.0,5,0.0,1430.0,1430.0,0,4,0,0,1430,0.0,0.0,2,0,3,1,2,7,0,0,2004.0,2,624.0,5,5,2,0,0,0,0,0,0,0,0,0,3,2010,173500,25,125,7150,2044900,2924207000,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
16,70,34.0,4571,3,0,5,5,1916,1950,0.0,3,4,5,5,3,6,0.0,5,0.0,624.0,624.0,1,4,720,0,1344,0.0,0.0,1,0,4,1,3,7,0,0,1916.0,3,513.0,2,2,2,0,0,96,0,0,0,0,0,0,5,2008,98000,25,125,6720,1806336,2427715584,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
17,20,80.0,8816,3,0,5,6,1963,1963,0.0,3,4,5,5,3,5,651.0,5,0.0,470.0,1121.0,4,4,0,0,1121,1.0,0.0,1,0,3,1,3,7,0,0,1963.0,3,480.0,5,5,2,0,80,0,0,0,0,0,3,0,6,2009,139000,25,125,5605,1256641,1408694561,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
18,20,71.0,8197,3,0,6,5,1977,1977,148.0,3,4,5,5,3,6,0.0,5,0.0,660.0,660.0,0,4,0,0,1285,0.0,0.0,1,1,3,1,3,7,1,5,1977.0,2,528.0,5,5,2,138,0,0,0,0,0,0,3,0,4,2007,143500,36,216,7710,1651225,2121824125,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
19,60,72.0,8640,3,0,7,5,2009,2009,0.0,3,4,3,5,2,3,24.0,5,0.0,732.0,756.0,0,4,783,0,1547,0.0,0.0,2,1,3,1,2,7,0,0,2009.0,3,614.0,5,5,2,169,45,0,0,0,0,0,0,0,6,2010,215200,49,343,10829,2393209,3702294323,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
20,20,109.0,8724,3,0,5,5,1968,1968,0.0,3,4,3,5,3,2,492.0,5,0.0,402.0,894.0,2,4,0,0,894,0.0,0.0,1,0,3,1,3,7,1,4,1968.0,1,450.0,5,5,2,0,0,0,0,0,0,0,0,0,5,2007,129000,25,125,4470,799236,714516984,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
21,120,40.0,5664,0,0,8,5,2000,2000,0.0,2,4,3,5,3,3,1158.0,5,0.0,343.0,1501.0,0,4,0,0,1659,1.0,0.0,2,0,2,1,0,7,1,1,2000.0,1,499.0,5,5,2,212,59,0,0,0,0,0,0,0,10,2009,278000,64,512,13272,2752281,4566034179,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
22,60,103.0,12867,0,0,8,5,2005,2006,0.0,2,4,1,5,0,6,0.0,5,0.0,1209.0,1209.0,0,4,1044,0,2253,0.0,0.0,2,1,3,1,0,7,1,3,2005.0,1,575.0,5,5,2,243,142,0,0,0,0,0,0,0,7,2006,344133,64,512,18024,5076009,11436248277,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
23,20,0.0,7980,0,0,6,7,1992,2007,0.0,3,2,3,5,3,1,935.0,5,0.0,233.0,1168.0,0,4,0,0,1187,1.0,0.0,2,0,3,1,3,7,0,0,1992.0,1,420.0,5,5,2,483,21,0,0,0,0,0,1,500,3,2010,185000,36,216,7122,1408969,1672446203,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
24,190,100.0,34650,3,0,5,5,1955,1955,0.0,3,4,5,5,2,5,1056.0,5,0.0,0.0,1056.0,4,4,0,0,1056,1.0,0.0,1,0,3,1,3,7,0,0,1955.0,1,572.0,5,5,2,264,0,0,0,0,0,0,0,0,1,2006,145000,25,125,5280,1115136,1177583616,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
25,20,92.0,10573,0,0,6,6,1961,1961,3.0,3,4,5,5,3,5,1312.0,5,0.0,141.0,1453.0,0,4,0,0,1453,1.0,0.0,2,0,3,1,3,7,1,5,1961.0,2,530.0,5,5,2,0,49,0,0,288,0,0,1,0,4,2009,187500,36,216,8718,2111209,3067586677,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
26,20,65.0,8450,3,0,5,8,1965,2009,0.0,3,2,5,5,3,3,553.0,1,117.0,224.0,894.0,0,4,0,0,894,1.0,0.0,1,0,3,1,3,7,1,3,1973.0,3,336.0,5,5,2,416,144,0,0,0,0,0,3,0,4,2010,138500,25,125,4470,799236,714516984,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
27,50,0.0,11700,0,1,5,6,1937,1995,0.0,3,4,5,5,3,2,606.0,5,0.0,336.0,942.0,0,4,673,0,1938,0.0,0.0,2,0,4,1,2,3,1,3,1937.0,3,240.0,5,5,2,0,40,0,0,0,0,0,0,0,7,2008,198000,25,125,9690,3755844,7278825672,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
28,190,75.0,8250,3,0,5,6,1895,2006,0.0,3,2,5,5,3,6,0.0,5,0.0,957.0,957.0,1,4,957,0,1991,0.0,0.0,2,0,4,2,3,7,0,0,0.0,0,0.0,0,0,0,0,0,133,0,0,0,0,0,0,6,2007,119600,25,125,9955,3964081,7892485271,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
29,50,60.0,8064,3,0,5,7,1949,2006,0.0,3,2,5,5,2,6,0.0,5,0.0,672.0,672.0,0,4,252,0,924,0.0,0.0,1,0,3,1,3,7,1,4,2003.0,3,576.0,5,5,2,0,0,0,0,0,0,0,3,2000,7,2007,122900,25,125,4620,853776,788889024,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
