,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice
10,160,rm,21.0,1680,pave,None,reg,lvl,allpub,inside,gtl,brdale,norm,norm,twnhs,2story,6,5,1971,1971,gable,compshg,hdboard,hdboard,brkface,232.0,ta,ta,cblock,ta,ta,no,alq,387.0,unf,0.0,96.0,483.0,gasa,ta,y,sbrkr,483,504,0,987,0.0,0.0,1,1,2,1,ta,4,typ,0,None,detchd,1971.0,unf,1.0,264.0,ta,ta,y,0,0,0,0,0,0,None,None,None,0,7,2008,cod,85400
11,20,rl,64.0,7488,pave,None,ir1,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,1story,7,5,2005,2005,gable,compshg,vinylsd,vinylsd,none,0.0,gd,ta,pconc,gd,ta,av,glq,393.0,unf,0.0,815.0,1208.0,gasa,ex,y,sbrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,gd,6,typ,0,None,attchd,2005.0,rfn,2.0,632.0,ta,ta,y,105,58,0,0,0,0,None,None,None,0,2,2006,wd ,183600
12,70,rl,120.0,26400,pave,None,reg,bnk,allpub,fr2,gtl,sawyerw,feedr,norm,1fam,2story,5,7,1880,2007,gable,compshg,hdboard,hdboard,none,0.0,gd,ta,pconc,None,None,no,None,0.0,unf,0.0,0.0,0.0,gasa,ex,y,sbrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,ta,7,mod,1,ta,attchd,1900.0,unf,2.0,576.0,ta,ta,p,0,0,0,0,0,0,None,None,None,0,6,2009,wd ,131000
13,160,fv,24.0,2645,pave,pave,reg,lvl,allpub,inside,gtl,somerst,norm,norm,twnhs,2story,8,5,1999,2000,gable,compshg,metalsd,metalsd,brkface,456.0,gd,ta,pconc,gd,ta,no,glq,813.0,unf,0.0,147.0,960.0,gasa,ex,y,sbrkr,962,645,0,1607,1.0,0.0,2,1,3,1,gd,7,typ,0,None,detchd,2000.0,unf,2.0,480.0,ta,ta,y,169,0,0,0,0,0,None,None,None,0,12,2008,conld,200000
14,20,rl,74.0,9627,pave,None,reg,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,1story,7,5,2007,2007,gable,compshg,vinylsd,vinylsd,none,0.0,gd,ta,pconc,gd,ta,av,glq,24.0,unf,0.0,1327.0,1351.0,gasa,ex,y,sbrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,gd,6,typ,0,None,attchd,2007.0,rfn,2.0,610.0,ta,ta,y,0,50,0,0,0,0,None,None,None,0,6,2008,wd ,193000
15,20,rl,93.0,10114,pave,None,reg,lvl,allpub,inside,gtl,mitchel,norm,norm,1fam,1story,5,5,2004,2005,gable,compshg,vinylsd,vinylsd,none,0.0,ta,ta,pconc,ex,ta,av,unf,0.0,unf,0.0,1430.0,1430.0,gasa,ex,y,sbrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,gd,7,typ,0,None,attchd,2004.0,rfn,2.0,624.0,ta,ta,y,0,0,0,0,0,0,None,None,None,0,3,2010,wd ,173500
16,70,rm,34.0,4571,pave,grvl,reg,lvl,allpub,inside,gtl,oldtown,norm,norm,1fam,2story,5,5,1916,1950,gable,compshg,asbshng,asbshng,none,0.0,ta,ta,brktil,ta,ta,no,unf,0.0,unf,0.0,624.0,624.0,gasa,fa,n,sbrkr,624,720,0,1344,0.0,0.0,1,0,4,1,ta,7,typ,0,None,detchd,1916.0,unf,3.0,513.0,fa,fa,y,0,0,96,0,0,0,None,None,None,0,5,2008,cod,98000
17,20,rl,80.0,8816,pave,None,reg,lvl,allpub,corner,gtl,sawyer,feedr,norm,1fam,1story,5,6,1963,1963,gable,compshg,vinylsd,vinylsd,none,0.0,ta,ta,pconc,ta,ta,no,rec,651.0,unf,0.0,470.0,1121.0,gasa,ta,y,sbrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,ta,5,typ,0,None,detchd,1963.0,unf,2.0,480.0,ta,ta,y,0,80,0,0,0,0,None,mnprv,None,0,6,2009,wd ,139000
18,20,rl,71.0,8197,pave,None,reg,lvl,allpub,inside,gtl,sawyer,norm,norm,1fam,1story,6,5,1977,1977,gable,compshg,plywood,plywood,brkface,148.0,ta,ta,cblock,ta,ta,no,unf,0.0,unf,0.0,660.0,660.0,gasa,ex,y,sbrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,ta,7,typ,1,ta,attchd,1977.0,rfn,2.0,528.0,ta,ta,y,138,0,0,0,0,0,None,mnprv,None,0,4,2007,wd ,143500
19,60,fv,72.0,8640,pave,None,reg,lvl,allpub,inside,gtl,somerst,norm,norm,1fam,2story,7,5,2009,2009,gable,compshg,vinylsd,vinylsd,none,0.0,ta,ta,pconc,gd,ta,mn,glq,24.0,unf,0.0,732.0,756.0,gasa,ex,y,sbrkr,764,783,0,1547,0.0,0.0,2,1,3,1,gd,7,typ,0,None,attchd,2009.0,unf,2.0,614.0,ta,ta,y,169,45,0,0,0,0,None,None,None,0,6,2010,con,215200
20,20,rl,109.0,8724,pave,None,reg,lvl,allpub,inside,gtl,sawyer,norm,norm,1fam,1story,5,5,1968,1968,gable,compshg,vinylsd,vinylsd,none,0.0,ta,ta,cblock,gd,ta,no,blq,492.0,unf,0.0,402.0,894.0,gasa,gd,y,sbrkr,894,0,0,894,0.0,0.0,1,0,3,1,ta,5,typ,1,po,attchd,1968.0,fin,2.0,450.0,ta,ta,y,0,0,0,0,0,0,None,None,None,0,5,2007,wd ,129000
21,120,rl,40.0,5664,pave,None,ir1,lvl,allpub,inside,gtl,stonebr,norm,norm,twnhse,1story,8,5,2000,2000,gable,compshg,cemntbd,cmentbd,none,0.0,gd,ta,pconc,gd,ta,no,glq,1158.0,unf,0.0,343.0,1501.0,gasa,ex,y,sbrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,ex,5,typ,1,ex,attchd,2000.0,fin,2.0,499.0,ta,ta,y,212,59,0,0,0,0,None,None,None,0,10,2009,wd ,278000
22,60,rl,103.0,12867,pave,None,ir1,lvl,allpub,corner,gtl,nridght,norm,norm,1fam,2story,8,5,2005,2006,gable,compshg,cemntbd,cmentbd,None,0.0,gd,ta,pconc,ex,ta,av,unf,0.0,unf,0.0,1209.0,1209.0,gasa,ex,y,sbrkr,1209,1044,0,2253,0.0,0.0,2,1,3,1,ex,8,typ,1,gd,attchd,2005.0,fin,2.0,575.0,ta,ta,y,243,142,0,0,0,0,None,None,None,0,7,2006,new,344133
23,20,rl,0.0,7980,pave,None,ir1,lvl,allpub,inside,gtl,gilbert,norm,norm,1fam,1story,6,7,1992,2007,gable,compshg,hdboard,hdboard,none,0.0,ta,gd,pconc,gd,ta,no,alq,935.0,unf,0.0,233.0,1168.0,gasa,ex,y,sbrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,ta,6,typ,0,None,attchd,1992.0,fin,2.0,420.0,ta,ta,y,483,21,0,0,0,0,None,gdprv,shed,500,3,2010,wd ,185000
24,190,rl,100.0,34650,pave,None,reg,bnk,allpub,inside,gtl,gilbert,norm,norm,2fmcon,1story,5,5,1955,1955,hip,compshg,wd sdng,wd sdng,none,0.0,ta,ta,cblock,ta,ta,mn,rec,1056.0,unf,0.0,0.0,1056.0,gasa,ta,n,sbrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,ta,5,typ,0,None,attchd,1955.0,fin,2.0,572.0,ta,ta,y,264,0,0,0,0,0,None,None,None,0,1,2006,wd ,145000
25,20,rl,92.0,10573,pave,None,ir1,lvl,allpub,corner,gtl,names,norm,norm,1fam,1story,6,6,1961,1961,hip,compshg,metalsd,metalsd,brkface,3.0,ta,ta,cblock,ta,ta,no,rec,1312.0,unf,0.0,141.0,1453.0,gasa,ex,y,sbrkr,1453,0,0,1453,1.0,0.0,2,0,3,1,ta,6,typ,1,ta,attchd,1961.0,rfn,2.0,530.0,ta,ta,y,0,49,0,0,288,0,None,gdprv,None,0,4,2009,wd ,187500
26,20,rl,65.0,8450,pave,None,reg,lvl,allpub,inside,gtl,sawyer,rrae,norm,1fam,1story,5,8,1965,2009,gable,compshg,metalsd,metalsd,none,0.0,ta,gd,cblock,ta,ta,no,glq,553.0,blq,117.0,224.0,894.0,gasa,ex,y,sbrkr,894,0,0,894,1.0,0.0,1,0,3,1,ta,5,typ,1,gd,detchd,1973.0,unf,1.0,336.0,ta,ta,y,416,144,0,0,0,0,None,mnprv,None,0,4,2010,wd ,138500
27,50,rl,0.0,11700,pave,grvl,ir1,hls,allpub,inside,mod,crawfor,norm,norm,1fam,1.5fin,5,6,1937,1995,gable,compshg,wdshing,wd shng,none,0.0,ta,ta,cblock,ta,ta,no,blq,606.0,unf,0.0,336.0,942.0,gasa,ex,y,sbrkr,1265,673,0,1938,0.0,0.0,2,0,4,1,gd,7,min2,1,gd,detchd,1937.0,unf,1.0,240.0,ta,ta,y,0,40,0,0,0,0,None,None,None,0,7,2008,wd ,198000
28,190,c (all),75.0,8250,pave,None,reg,lvl,allpub,inside,gtl,idotrr,feedr,norm,2fmcon,2story,5,6,1895,2006,gable,compshg,vinylsd,vinylsd,none,0.0,ta,gd,cblock,ta,ta,no,unf,0.0,unf,0.0,957.0,957.0,gasa,fa,n,sbrkr,1034,957,0,1991,0.0,0.0,2,0,4,2,ta,9,typ,0,None,no garage,0.0,None,0.0,0.0,None,None,n,0,0,133,0,0,0,None,None,None,0,6,2007,wd ,119600
29,50,rl,60.0,8064,pave,None,reg,lvl,allpub,corner,gtl,names,artery,norm,1fam,1.5fin,5,7,1949,2006,gable,compshg,metalsd,metalsd,none,0.0,ta,gd,cblock,ta,ta,mn,unf,0.0,unf,0.0,672.0,672.0,gasa,ex,y,sbrkr,672,252,0,924,0.0,0.0,1,0,3,1,ta,6,typ,1,po,detchd,2003.0,unf,2.0,576.0,ta,ta,y,0,0,0,0,0,0,None,mnprv,shed,2000,7,2007,wd ,122900
30,20,rl,80.0,9600,pave,None,reg,lvl,allpub,inside,gtl,nwames,posn,norm,1fam,1story,8,5,1981,1981,hip,wdshngl,brkface,brkface,none,0.0,gd,ta,pconc,gd,ta,no,alq,1104.0,unf,0.0,1420.0,2524.0,gasa,ta,y,sbrkr,2524,0,0,2524,1.0,0.0,2,1,4,1,gd,9,typ,1,gd,attchd,1981.0,fin,2.0,542.0,ta,ta,y,474,120,0,0,0,0,None,mnprv,None,0,7,2009,wd ,278000
31,70,rl,0.0,11435,pave,None,ir1,hls,allpub,corner,mod,crawfor,norm,norm,1fam,2story,8,7,1929,1950,gable,compshg,brkface,stucco,none,0.0,ta,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,792.0,792.0,gasa,fa,y,sbrkr,792,725,0,1517,0.0,0.0,1,0,3,1,gd,7,typ,2,gd,detchd,1931.0,unf,2.0,400.0,ta,ta,y,0,0,0,0,0,0,None,None,None,0,6,2006,wd ,230000
32,120,rl,30.0,9549,pave,None,ir1,lvl,allpub,culdsac,gtl,veenker,norm,norm,twnhse,1story,8,5,1995,1996,hip,compshg,brkface,brkface,none,0.0,gd,gd,pconc,gd,gd,av,lwq,437.0,glq,1057.0,0.0,1494.0,gasa,ex,y,sbrkr,1494,0,0,1494,1.0,0.0,1,1,2,1,ex,6,typ,1,gd,attchd,1995.0,fin,2.0,481.0,ta,ta,y,0,30,0,0,216,0,None,None,None,0,4,2006,wd ,270000
33,20,rl,60.0,10950,pave,None,reg,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,6,6,1952,1952,hip,compshg,wd sdng,wd sdng,none,0.0,ta,ta,cblock,ta,ta,no,alq,441.0,unf,0.0,507.0,948.0,gasa,ta,y,sbrkr,948,0,0,948,0.0,0.0,1,0,2,1,ta,5,typ,0,None,detchd,1952.0,unf,2.0,410.0,ta,ta,n,0,48,0,0,0,0,None,None,None,0,4,2007,wd ,125000
34,20,rl,79.0,10637,pave,None,reg,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,1story,8,5,2007,2008,hip,compshg,vinylsd,vinylsd,stone,336.0,gd,ta,pconc,ex,ta,gd,glq,1288.0,unf,0.0,417.0,1705.0,gasa,ex,y,sbrkr,1718,0,0,1718,1.0,0.0,2,0,3,1,gd,7,typ,1,gd,attchd,2007.0,rfn,3.0,826.0,ta,ta,y,208,44,0,0,0,0,None,None,None,0,9,2009,wd ,297000
35,20,rl,80.0,9000,pave,None,ir1,hls,allpub,inside,mod,names,norm,norm,1fam,1story,6,6,1958,1958,flat,tar&grv,wd sdng,wd sdng,brkface,82.0,ta,ta,cblock,gd,ta,gd,unf,0.0,unf,0.0,160.0,160.0,gasa,fa,y,sbrkr,1142,0,0,1142,0.0,0.0,1,0,2,1,ta,5,typ,1,gd,basment,1958.0,rfn,1.0,384.0,ta,ta,y,0,28,64,0,0,0,None,None,None,0,4,2009,wd ,113500
36,160,rm,41.0,2665,pave,None,reg,lvl,allpub,inside,gtl,meadowv,norm,norm,twnhse,2story,5,6,1977,1977,gable,compshg,cemntbd,cmentbd,none,0.0,ta,ta,pconc,ta,ta,no,alq,548.0,rec,173.0,36.0,757.0,gasa,ex,y,sbrkr,925,550,0,1475,0.0,0.0,2,0,4,1,ta,6,typ,1,ta,attchd,1977.0,rfn,1.0,336.0,ta,ta,y,104,26,0,0,0,0,None,None,None,0,7,2006,wd ,127000
37,20,rl,105.0,11751,pave,None,ir1,lvl,allpub,inside,gtl,nwames,norm,norm,1fam,1story,6,6,1977,1977,hip,compshg,plywood,plywood,brkface,480.0,ta,ta,cblock,gd,ta,no,blq,705.0,unf,0.0,1139.0,1844.0,gasa,ex,y,sbrkr,1844,0,0,1844,0.0,0.0,2,0,3,1,ta,7,typ,1,ta,attchd,1977.0,rfn,2.0,546.0,ta,ta,y,0,122,0,0,0,0,None,mnprv,None,0,1,2010,cod,190000
38,20,rl,80.0,9600,pave,None,reg,lvl,allpub,inside,gtl,nwames,norm,norm,1fam,1story,7,6,1973,1973,hip,compshg,hdboard,hdboard,brkface,320.0,ta,ta,cblock,ta,ta,no,alq,916.0,unf,0.0,326.0,1242.0,gasa,fa,y,sbrkr,1242,0,0,1242,0.0,0.0,1,1,3,1,ta,6,typ,1,ta,attchd,1973.0,unf,2.0,528.0,ta,ta,y,0,0,0,0,0,0,None,None,None,0,9,2007,wd ,175500
39,20,rl,60.0,8428,pave,None,ir2,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,1story,5,7,1994,1994,gable,compshg,vinylsd,vinylsd,none,0.0,ta,gd,pconc,gd,gd,no,glq,420.0,unf,0.0,570.0,990.0,gasa,ex,y,sbrkr,990,0,0,990,1.0,0.0,1,0,3,1,ta,5,typ,0,None,detchd,1995.0,unf,1.0,384.0,ta,ta,y,256,0,0,0,0,0,None,None,None,0,7,2007,wd ,146000
40,20,rl,75.0,9937,pave,None,reg,lvl,allpub,inside,gtl,edwards,norm,norm,1fam,1story,5,6,1965,1965,gable,compshg,hdboard,hdboard,none,0.0,gd,ta,cblock,ta,ta,no,blq,830.0,lwq,290.0,136.0,1256.0,gasa,gd,y,sbrkr,1256,0,0,1256,1.0,0.0,1,1,3,1,ta,6,typ,0,None,attchd,1965.0,fin,1.0,276.0,ta,ta,y,736,68,0,0,0,0,None,None,None,0,6,2008,wd ,147500
41,20,rl,107.0,13891,pave,None,reg,lvl,allpub,inside,gtl,nridght,norm,norm,1fam,1story,10,5,2006,2006,gable,compshg,vinylsd,vinylsd,None,0.0,ex,ta,pconc,ex,gd,gd,glq,1386.0,unf,0.0,690.0,2076.0,gasa,ex,y,sbrkr,2076,0,0,2076,1.0,0.0,2,1,2,1,ex,7,typ,1,gd,attchd,2006.0,fin,3.0,850.0,ta,ta,y,216,229,0,0,0,0,None,None,None,0,9,2006,new,465000
42,85,rl,0.0,9101,pave,None,ir1,lvl,allpub,corner,gtl,mitchel,norm,norm,1fam,sfoyer,5,6,1978,1978,gable,compshg,plywood,plywood,brkface,104.0,ta,gd,pconc,gd,ta,av,glq,1097.0,unf,0.0,0.0,1097.0,gasa,ex,y,sbrkr,1110,0,0,1110,1.0,0.0,1,0,1,1,gd,4,typ,1,ta,attchd,1978.0,fin,2.0,602.0,ta,ta,y,303,30,0,0,0,0,None,None,None,0,7,2009,wd ,165500
43,50,rm,81.0,12150,pave,grvl,reg,lvl,allpub,inside,gtl,oldtown,norm,norm,1fam,1.5fin,5,5,1954,1954,gable,compshg,metalsd,metalsd,brkface,335.0,ta,ta,brktil,ta,ta,no,unf,0.0,unf,0.0,1050.0,1050.0,gasa,ex,n,fusef,1050,745,0,1795,0.0,0.0,2,0,4,1,ta,7,typ,0,None,attchd,1954.0,unf,1.0,352.0,fa,ta,y,0,0,0,0,0,0,None,None,None,0,11,2008,wd ,131500
44,20,rl,70.0,11200,pave,None,reg,lvl,allpub,inside,gtl,sawyer,norm,norm,1fam,1story,5,5,1965,1965,hip,compshg,hdboard,hdboard,none,0.0,ta,ta,cblock,ta,ta,no,rec,906.0,unf,0.0,134.0,1040.0,gasa,ex,y,sbrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,ta,5,typ,0,None,detchd,1965.0,unf,1.0,384.0,ta,ta,y,0,0,0,0,0,0,None,None,None,0,2,2008,wd ,129500
45,70,rl,100.0,9670,pave,None,ir1,hls,allpub,inside,mod,crawfor,norm,norm,1fam,2story,8,6,1935,1950,gable,compshg,brkface,stucco,stone,40.0,ta,ta,pconc,ta,fa,no,lwq,210.0,unf,0.0,398.0,608.0,gasa,ta,y,sbrkr,983,890,0,1873,0.0,0.0,1,1,4,1,ta,9,typ,2,gd,detchd,1935.0,fin,2.0,786.0,fa,ta,y,0,0,207,0,0,0,None,None,None,0,6,2008,wd ,257076
46,50,rl,60.0,10998,pave,grvl,reg,lvl,allpub,inside,gtl,edwards,norm,norm,1fam,1.5fin,5,5,1941,1960,gable,compshg,wd sdng,wd sdng,none,0.0,ta,ta,cblock,ta,ta,no,lwq,408.0,blq,420.0,156.0,984.0,gasa,ex,y,sbrkr,984,620,0,1604,0.0,0.0,2,0,3,1,ta,6,min2,0,None,detchd,1977.0,unf,2.0,660.0,ta,ta,y,0,68,0,0,0,0,None,None,None,0,7,2009,wd ,117000
47,70,rl,60.0,7200,pave,None,reg,hls,allpub,inside,mod,crawfor,norm,norm,1fam,2story,7,6,1931,2000,gable,compshg,stucco,wd shng,none,0.0,ta,fa,brktil,gd,ta,no,unf,0.0,unf,0.0,776.0,776.0,gasa,ta,y,sbrkr,851,651,0,1502,0.0,0.0,1,1,3,1,ta,6,typ,1,gd,attchd,1931.0,rfn,1.0,270.0,ta,ta,p,0,0,112,0,0,0,None,mnprv,None,0,2,2008,wd ,149000
48,20,rl,80.0,9920,pave,None,reg,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,5,5,1954,1954,gable,compshg,hdboard,hdboard,stone,110.0,ta,ta,cblock,ta,ta,no,rec,354.0,lwq,290.0,412.0,1056.0,gasa,ta,y,sbrkr,1063,0,0,1063,1.0,0.0,1,0,3,1,ta,6,typ,0,None,attchd,1954.0,rfn,1.0,280.0,ta,ta,y,0,0,164,0,0,0,None,mnprv,None,0,2,2010,wd ,128000
49,160,rl,36.0,2448,pave,None,reg,lvl,allpub,inside,gtl,nridght,norm,norm,twnhs,2story,7,5,2003,2004,gable,compshg,vinylsd,wd shng,stone,106.0,gd,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,764.0,764.0,gasa,ex,y,sbrkr,764,862,0,1626,0.0,0.0,2,1,2,1,gd,6,typ,0,None,builtin,2003.0,rfn,2.0,474.0,ta,ta,y,0,27,0,0,0,0,None,None,None,0,10,2008,wd ,155000
50,160,fv,0.0,2998,pave,None,reg,lvl,allpub,inside,gtl,somerst,norm,norm,twnhse,2story,6,5,2000,2000,gable,compshg,metalsd,metalsd,brkface,513.0,gd,ta,pconc,gd,ta,no,glq,353.0,unf,0.0,403.0,756.0,gasa,ex,y,sbrkr,768,756,0,1524,0.0,0.0,2,1,2,1,gd,4,typ,0,None,detchd,2000.0,unf,2.0,440.0,ta,ta,y,0,32,0,0,0,0,None,None,None,0,6,2006,wd ,166000
51,50,rl,65.0,7804,pave,None,reg,lvl,allpub,inside,gtl,swisu,norm,norm,1fam,1.5fin,4,3,1928,1950,gable,compshg,wdshing,plywood,none,0.0,ta,ta,brktil,ta,ta,no,blq,622.0,unf,0.0,500.0,1122.0,gasa,ta,y,sbrkr,1328,653,0,1981,1.0,0.0,2,0,4,1,gd,7,min2,2,ta,detchd,1981.0,unf,2.0,576.0,ta,ta,y,431,44,0,0,0,0,None,mnprv,None,0,12,2009,wd ,135000
